林直亨先生の研究室では、循環機能がもたらす健康へ影響について、特に血流に着目した研究を行なっている。ここでは、マッサージや食事など、運動に限らない取り組みを模索しており、これからのライフ スタイルに合わせた健康の在り方を探っている。本稿では、先生の研究をいくつか紹介するとともに、先 生の研究に対する意識を述べる。,循環機能が魅せる健康,林 直亨,92-1-hayasi.pdf,92,リベラルアーツ,リベラルアーツ研究教育院,,,,,,,,,,,,社会・人間科学系,社会・人間科学コース,,,,,92
それぞれの専門分野の垣根を超えた交わりがイノベーションに必要になってくる時代。分野の壁を越え、 どうやったら相手の言っていることを理解し、自分の言いたいことを相手に分かるように伝えるか。人の コミュニケーションから見えてくる世界とは何なのだろうか,異分野をつなぐ対話空間を,野原 佳代子,92-2-nohara.pdf,92,環境社会,環境・社会理工学院,,,,,,,,,,,,融合理工学系,地球環境共創コース,,,,,
三宅研究室は、共創システムをキーワードに、人と人、あるいは人と機械のコミュニケーションの仕組 みの研究や応用を行なっている。以下では、先生がどのようなアプローチで研究を行なっているのか、ま たそれに情報工学がどのような形で関わっているのかということについて触れていく。,「間の合う」人とロボット,三宅 美博,92-3-miyake.pdf,92,情報理工,情報理工学院 ,,,,,,,,,,,,情報工学系 ,知能情報コース,,,,,
弓山先生の研究室では関与型調査という手法を用いてスピリチュアリティについて研究を行なっている。 この手法を用いることでより社会に働きかけるような研究を行えるという。本稿ではそのような手法を用 いて行なっている二つの研究について紹介するとともに、先生の研究に対する考え方について触れていく。,関与型調査で追い求めるより良い社会,弓山 達也,91-1-yumiyama.pdf,91,リベラルアーツ,リベラルアーツ研究教育院,,,,,,,,,,,,社会・人間科学系,社会・人間科学コース,,,,,
都市の生活空間を覆う大気は、その運動によってざまざまな形で人間社会に干渉する。田村研究室では スーパーコンピュータを用いて大気の流動現象を解析することで、環境・防災問題の解決を目指している。 本稿では、風の流れを解析することの複雑さを理解した上で、LES解析という手法に触れてもらい、後半 ではその解析結果の汎用性について注目していく。,風の流れを捉える、操るそして親しむ,田村 哲郎,91-2-tamura.pdf,91,環境社会,環境・社会理工学院,,,,,,,,,,,,建築学系,都市・環境学コース,,,,,
今や我々に親しい存在となった音声認識であるが、システムの学習にかかるコストが普及の足かせになっ ている。そのコストを減らすため、篠崎研究室では半教師あり学習という方法を用いてシステムが自律的 に学習する仕組みの実現を目指している。ここでは音声認識の仕組みに触れながら、研究室で現在進めら れている研究について紹介する。,音声認識システムの自律的学習を目指して,篠崎 隆宏,91-3-shinozaki.pdf,91,工学,工学院,,,,,,,,,,,,情報通信系 ,情報通信コース,,,,,
熊井真次先生の研究室では主に３つの分野について研究している。材質の劣化を引き起こさない頑丈な 接合方法、質の良いアルミニウム合金の鋳造方法、合金の成分を視覚化する新しい方法の３つを一つひと つ紹介する。そして材料分野における基礎・基本研究の大切さと研究室で学生を育てるということについ てきいた。,強くて優しい社会基盤材料をつくる,熊井 真次,90-1-kumai.pdf,90,物質理工,物質理工学院,,,,,,,,,,,,材料系,材料コース,,,,,
奥住研究室では、惑星がどのように形成されるのかについての研究を行なっている。先生は、実際には 観測することが難しい惑星の形成を、理論物理学に基づくシミュレーションによって解き明かそうとして いる。本稿では、惑星の形成を説明するうえでどのような問題が存在し、それらをどのようなアプローチ で解決しようとしているかを紹介する。,シミュレーションで追う惑星の誕生,奥住 聡 ,90-2-okusumi.pdf,90,理学,理学院,,,,,,,,,,,,地球惑星科学系,地球惑星科学コース,,,,,
塩浦研究室では、情報科学、経営工学、経済学などの分野で現れる問題と、その問題に関連のある数学 の研究、そしてその研究の他分野への応用を行なっている。本稿では、まず塩浦研究室が扱っている問題 とはどういうものかを説明し、数学との関連性を見ていく。そして、塩浦先生の取り組んだ研究の一つ、 オークション理論に触れていく。,現代社会の最適解を探る,塩浦 昭義,90-3-shiora.pdf,90,工学,工学院,,,,,,,,,,,,経営工学系,経営工学コース,,,,,
伊原研究室では高効率なエネルギー変換を実現し人類に貢献することを目標に、太陽電池、燃料電池、 エネルギーシステムの３つの分野の研究を並行して進めている。それぞれの研究は一見大きく異なってい るように思えるが、これらを同時に行うことには重要な意義がある。本稿では、一つひとつの研究内容に 触れたのち、全体を司る先生の考え方について紹介していく。,エネルギー変換の新地平,伊原 学,89-1-ihara.pdf,89,物質理工,物質理工学院,,,,,,,,,,,,応用化学系,エネルギーコース,,,,グローバル水素エネルギー研究ユニット,
北野政明先生の研究室では、貴金属をまったく使わない環境低負荷な高性能触媒の開発を究極の目標と して、無機触媒の研究を進めている。主な研究の対象はエレクトライド触媒と呼ばれ、アンモニアの合成 に利用が期待される物質群である。本稿ではエレクトライド触媒の歴史と性質、そしてエレクトライド触 媒の展望とともに北野研究室を紹介する。,ありふれた元素から作る環境調和触媒,北野 政明,89-2-kitano.pdf,89,元素戦略センター,元素戦略研究センター,,,,,,,,,,,,材料系,材料コース,,,,,
情報分野の発展はめざましく、また多岐にわたっている。金子研究室はその中で符号化理論を対象にした 研究、特にハードウェアに適切な符号化を施すための研究を行なっている。本稿では符号化の基本から入 り、その後先生の研究である誤り訂正符号とデータ圧縮について紹介する。また、先生の研究のスタンス についても触れる。,信頼・効率を生み出す符号化,金子 晴彦,89-3-kaneko.pdf,89,情報理工,情報理工学院,,,,,,,,,,,,情報工学系,情報工学コース,,,,,
小野研究室では、進化計算と呼ばれるアルゴリズム群を研究している。進化計算とは生物の進化に着想 を得て考案されたアルゴリズムの総称であり、設計などの分野で応用されている。本稿では、その中でも 関数の最小値や最大値をとる点を求める問題や、組み合わせ問題を解くために小野研究室で考案されたア ルゴリズムを紹介する。,進化計算で難問に挑む,小野 功,89-4-ono.pdf,89,情報理工,情報理工学院,,,,,,,,,,,,情報工学系,知能情報コース,,,,ビッグデータ数理科学研究ユニット,
世界にはさまざまな微生物が存在し、それらのもつ機能を人々は利用してきた。最近では、その機能を 遺伝子に着目して解明することができ、微生物の持つ酵素などを産業に応用できると期待されている。福 居研究室では、海底火山に生息している微生物の生体機能や酵素の解明と生分解性プラスチックの微生物 合成の研究をしている。本稿ではこれらの研究について紹介する。,微生物の生命機能応用,福居 俊昭,89-5-hukui.pdf,89,生命理工,生命理工学院,,,,,,,,,,,,生命理工学系,生命理工学コース,,,,,
障害者というと、文字通り障害を抱えている人というような、負のイメージがどうしても離れない人が 多い。そんな中、伊藤先生は障害者に対して新しいアプローチを試みている。障害者のものの見方を観察 して、新しい情報を得ようというのだ。先生が研究を始めたきっかけから、現在どのようにして斬新な研 究を進めているか、追っていく。,視覚のない世界を捉える,伊藤 亜紗,88-1-ito.pdf,88,リベラルアーツ,リベラルアーツ研究教育院,,,,,,,,,,,,社会・人間科学系,社会・人間科学コース,,,,,
私たち哺乳類は様々な器官が複雑に絡み合ってできている。これらが合わさった組織を指先に乗るくら いまでに小型化して再現できれば、世界で最もコンパクトな生体器官のモデルになるのではないか。その ような考えから、同一細胞種から分化した代謝器官を１つのチップに収めることに成功したのがここ田川 研究室である。先生がどのようにしてこれを成功させ、その後どう研究を発展させているのか紹介しよう。,手のひらサイズの人工生命,田川 陽一,88-2-tagawa.pdf,88,生命理工,生命理工学院,,,,,,,,,,,,生命理工学系,生命理工学コース,,,,,
田中研究室では、有機化合物の不斉合成を主に研究している。研究の対象となる分子の中には、単純な 不斉をもつ分子だけでなく、ベンゼン環がベルト状やらせん状に繋がったユニークな構造のものもある。 本稿では、不斉の種類について解説したのち、田中研究室で行なっている不斉合成やそれに関連する研究 について触れる。,不斉を制御する触媒,田中 健,88-3-tanaka.pdf,88,物質理工,物質理工学院,,,,,,,,,,,,応用化学系,応用化学コース,,,,,
地球を離れると、 そこには一見過酷な環境が広がっているように見える。秋田ではそのような宇宙の多様な環境を利用し、航空宇宙工学を用いて宇宙の謎を解明するための従来とは異なる探査システムを開発すべく研究を重ねている。 ここでは先生の研究を大まかに金星や火星などの空気のある世界と宇宙空間の空気のない世界の二つに分けて紹介していく。,宇宙の過酷な環境を利用する,秋田 大輔,87-1-akita.pdf,87,環境社会,環境・社会理工学院,,,,,,,,,,,,融合理工学系,地球環境共創コース,,,,,
岩澤・鷹谷では、遷移金属錯体を用いて新しい有機合成反応を開発する研究を行なっている。 その中でも本稿では、遷移金属錯体を用いた触媒的な二酸化炭素の固定化反応と、 ボロン酸エステルの動的自己組織化に焦点を当てて紹介する。 そして、先生方と有機化学の出会いや、研究活動の原動力についても触れる。,夢の反応を目指して,岩澤・鷹谷,87-2-iwazaki-takaya.pdf,87,理学,理学院,,,,,,,,,,,,化学系,化学コース,エネルギーコース,,,,
生命を形作るために必要不可欠な生体高分子。近年研究が活発に行われているこの分野を、化学と生物の境界領域で研究しているのが芹澤である。先生は生体高分子の、生体の中では使われていない性質を新たな機能として使うことができないかと考え研究している。本稿では主に、 ペプチドやセルロースの機能に着目し、新たな材料への可能性を探る先生の研究について紹介する。,生体高分子の可能性,芹澤 武,87-3-serizawa.pdf,87,物質理工,物質理工学院,,,,,,,,,,,,応用化学系,応用化学コース,,,,,
豊田では、 アントラセンとアセチレンを繋げてさまざまな構造を有する分子を創り出している。本稿ではまず、物理有機化学について紹介したうえで、 アントラセンとアセチレンの構造と性質を述べる。そして、豊田先生が実際に創り出した分子のいくつかを取り上げ、 その構造と物性を物理有機化学の立場から紹介し、先生の理念へと繋げる。,構造から視る化学の世界,豊田 真司,87-4-toyota.pdf,87,理学,理学院,,,,,,,,,,,,化学系,化学コース,,,,,
粂・白木では再生医療で用いることができる細胞を作る研究を行なっている。再生医療は期待が大きい反面、まだ研究されるべきことが数多く残っている。目標とする細胞を作るためには、細胞が特定の機能をもつようになる分化についての研究が欠かせない。本稿では糖尿病に深く関係する細胞を作るために、どのような研究が行われているのかを紹介する。,再生医療への足掛かり, 粂・白木,86-1-kume.pdf,86,生命理工,生命理工学院,,,,,,,,,,,,生命理工学系,生命理工学コース,,,,,
和地では生命をテーマとした研究が行われている。生命は、生物学者の間ですら明確に定義できていないほど未解明な部分が多く、またそれゆえに、生命についての研究が盛んに進められている。その中で先生は、細胞分裂という現象に着目することで、生命の解明を目指している。本稿では、細菌の細胞分裂に関する先生の研究について紹介する。,生命の真髄へと至る道,和地 正明,86-2-wachi.pdf,86,生命理工,生命理工学院,,,,,,,,,,,,生命理工学系,生命理工学コース,,,,,
我々の暮らす現代社会は、多くの機械によって成り立っている。機械の原動力となるのはモータであり、国内の電力の60％がモータによって消費されていることを考えると、モータは現代社会の心臓と言えるだろう。そのようなモータの中でも、今注目を浴びている二種類のモータがある。本稿では、それらのモータについて、千葉で行われている研究を紹介していく。,世界を回すモータ,千葉 明,86-3-tiba.pdf,86,工学,工学院,,,,,,,,,,,,電気電子系,電気電子コース,エネルギーコース,,,,
